method,CycleConsistencyError_token,EPE_pixel_mean,EPE_pixel_median,EPE_token_mean,EPE_token_median,FeatureWarpError,PCK@1_token,PCK@2_token,Provisional-Demo0-Proxy-Score,RGBWarpError,RejectF1,RejectPrecision,RejectRecall,Top8Recall,accepted_fraction,mean_confidence,sample_count_all,sample_count_valid,status
B0,0.5075329542160034,12.627713203430176,5.514152526855469,0.789232075214386,0.3446345329284668,0.0691206082701683,0.8404417634010315,0.9394516348838806,0.5339331330657499,0.01275942288339138,0.0,0.0,0.0,0.9710586667060852,1.0,0.7050444483757019,9216,2626,provisional
B1,3.472259759902954,53.66623306274414,40.29095458984375,3.354139566421509,2.5181846618652344,0.06370572000741959,0.1926884949207306,0.41431835293769836,0.24280745920823188,0.046338267624378204,0.0,0.0,0.0,0.9710586667060852,1.0,0.14366179704666138,9216,2626,provisional
B2,1.6028971672058105,23.91038703918457,11.250150680541992,1.4943991899490356,0.7031344175338745,0.05220819264650345,0.5769230723381042,0.7638994455337524,0.41775819430206884,0.021314360201358795,0.0,0.0,0.0,0.9710586667060852,1.0,0.2878471612930298,9216,2626,provisional
B3,1.184187889099121,16.26805877685547,6.592789649963379,1.0167536735534668,0.4120493531227112,0.0543811097741127,0.7258187532424927,0.8720487356185913,0.4873935329851968,0.01589277945458889,0.0,0.0,0.0,0.9710586667060852,1.0,0.40090084075927734,9216,2626,provisional
B4,1.2238699197769165,14.748562812805176,5.524094104766846,0.9217851758003235,0.34525588154792786,0.07190673798322678,0.7829398512840271,0.8853769898414612,0.6818312174435968,0.016057727858424187,0.8701317715959003,0.8405940594059406,0.9018209408194233,0.9710586667060852,0.2328559011220932,0.18423035740852356,9216,2626,provisional
B5,0.7352925539016724,10.923844337463379,4.7013044357299805,0.6827402710914612,0.2938315272331238,0.059557750821113586,0.8514851331710815,0.9444021582603455,0.7203467823808443,0.012893807142972946,0.8724310041103934,0.8448962183679272,0.9018209408194233,0.9710586667060852,0.2367621511220932,0.20052865147590637,9216,2626,provisional
B5_no_reject,0.7352925539016724,10.923844337463379,4.7013044357299805,0.6827402710914612,0.2938315272331238,0.059557750821113586,0.8514851331710815,0.9444021582603455,0.5458605815587656,0.012893807142972946,0.0,0.0,0.0,0.9710586667060852,1.0,0.20052865147590637,9216,2626,provisional
B5_no_spatial,0.8109682202339172,11.94101619720459,4.939154624938965,0.7463135123252869,0.3086971640586853,0.058428891003131866,0.8389185070991516,0.9318354725837708,0.7059864719056388,0.014026439748704433,0.8406801411613731,0.7282934963868816,0.9940819423368741,0.9710586667060852,0.02398003451526165,0.0868464931845665,9216,2626,provisional
B5_hard_top1,0.41113245487213135,10.639755249023438,5.212536811828613,0.6649847030639648,0.32578355073928833,0.07253871858119965,0.8796648979187012,0.9611576795578003,0.7285441395561787,0.01250912994146347,0.8724310041103934,0.8448962183679272,0.9018209408194233,0.9710586667060852,0.2367621511220932,0.20052865147590637,9216,2626,provisional
B5_posthoc_only,0.7352925539016724,10.923844337463379,4.7013044357299805,0.6827402710914612,0.2938315272331238,0.06370572000741959,0.8514851331710815,0.9444021582603455,0.7197076266327147,0.012893807142972946,0.8724310041103934,0.8448962183679272,0.9018209408194233,0.9710586667060852,0.2367621511220932,0.20052865147590637,9216,2626,provisional
B5_K2,0.6098723411560059,10.339960098266602,4.32009220123291,0.6462475061416626,0.2700057625770569,0.05991017818450928,0.8781416416168213,0.9424980878829956,0.7351523240604803,0.012531516142189503,0.8936934241041371,0.8813634351482957,0.9063732928679817,0.9710586667060852,0.2646484375,0.205051451921463,9216,2626,provisional
B5_K4,0.7352925539016724,10.923844337463379,4.7013044357299805,0.6827402710914612,0.2938315272331238,0.059557750821113586,0.8514851331710815,0.9444021582603455,0.7203467823808443,0.012893807142972946,0.8724310041103934,0.8448962183679272,0.9018209408194233,0.9710586667060852,0.2367621511220932,0.20052865147590637,9216,2626,provisional
B5_K8,0.799771785736084,12.289916038513184,5.041107654571533,0.768119752407074,0.3150692284107208,0.059629783034324646,0.8183549046516418,0.9276466369628906,0.704078190031157,0.01301603764295578,0.8705520574022552,0.8411148839841539,0.9021244309559939,0.9710586667060852,0.2330729216337204,0.20420582592487335,9216,2626,provisional
B5_L4,0.5414803624153137,9.864205360412598,4.276856422424316,0.6165128350257874,0.2673035264015198,0.060476403683423996,0.8804265260696411,0.9550647139549255,0.7294044347087912,0.01227295771241188,0.8702991936091642,0.8645006737535559,0.8761760242792109,0.9455445408821106,0.2752821147441864,0.22973643243312836,9216,2626,provisional
B5_L8,0.7352925539016724,10.923844337463379,4.7013044357299805,0.6827402710914612,0.2938315272331238,0.059557750821113586,0.8514851331710815,0.9444021582603455,0.7203467823808443,0.012893807142972946,0.8724310041103934,0.8448962183679272,0.9018209408194233,0.9710586667060852,0.2367621511220932,0.20052865147590637,9216,2626,provisional
B5_L16,0.9679794311523438,13.865691184997559,4.955095291137695,0.8666056990623474,0.30969345569610596,0.05868309363722801,0.7920792102813721,0.8983244299888611,0.6930009851102608,0.013619371689856052,0.879305396096441,0.8340593520283147,0.929742033383915,0.9805788397789001,0.2029079794883728,0.1738390475511551,9216,2626,provisional
