method,CycleConsistencyError_token,EPE_pixel_mean,EPE_pixel_median,EPE_token_mean,EPE_token_median,FeatureWarpError,PCK@1_token,PCK@2_token,Provisional-Demo0-Proxy-Score,RGBWarpError,RejectF1,RejectPrecision,RejectRecall,Top8Recall,accepted_fraction,mean_confidence,sample_count_all,sample_count_valid,status
B0,3.897831916809082,103.39750671386719,55.37142562866211,6.462344169616699,3.460714101791382,0.23253323137760162,0.3804877996444702,0.4536585509777069,0.20478466751621882,0.06086321547627449,0.0,0.0,0.0,0.5317073464393616,1.0,0.6823155283927917,7488,205,provisional
B1,9.186137199401855,111.85057830810547,104.9546890258789,6.990661144256592,6.559668064117432,0.1695459485054016,0.0,0.02926829271018505,0.09443794354173539,0.19200623035430908,0.0,0.0,0.0,0.5317073464393616,1.0,0.09394817054271698,7488,205,provisional
B2,7.138410568237305,93.67341613769531,67.10857391357422,5.854588508605957,4.194285869598389,0.1550961136817932,0.1170731708407402,0.2048780471086502,0.1365755935565372,0.08858797699213028,0.0,0.0,0.0,0.5317073464393616,1.0,0.2633688747882843,7488,205,provisional
B3,6.132384300231934,86.3501205444336,51.795860290527344,5.3968825340271,3.237241268157959,0.16332483291625977,0.21463415026664734,0.31707316637039185,0.16717465598975934,0.07304545491933823,0.0,0.0,0.0,0.5317073464393616,1.0,0.31826919317245483,7488,205,provisional
B4,4.040263652801514,41.73921203613281,19.71843719482422,2.608700752258301,1.2324023246765137,0.22362229228019714,0.46341463923454285,0.6292682886123657,0.4648020199301659,0.04433845728635788,0.9414446502350762,0.9782383419689119,0.9073184127420019,0.5317073464393616,0.0978899598121643,0.1123906821012497,7488,205,provisional
B5,4.648416519165039,85.79257202148438,41.75712585449219,5.362035751342773,2.6098203659057617,0.19077995419502258,0.31707316637039185,0.43414634466171265,0.3844530102194959,0.058910489082336426,0.9492671927846674,0.9749601968446954,0.9248935878072223,0.5317073464393616,0.07732371985912323,0.10365680605173111,7488,205,provisional
B5_no_reject,4.648416519165039,85.79257202148438,41.75712585449219,5.362035751342773,2.6098203659057617,0.19077995419502258,0.31707316637039185,0.43414634466171265,0.19459957166256242,0.058910489082336426,0.0,0.0,0.0,0.5317073464393616,1.0,0.10365680605173111,7488,205,provisional
B5_no_spatial,4.937198162078857,86.06482696533203,47.1463508605957,5.379051685333252,2.9466469287872314,0.18563076853752136,0.28780487179756165,0.4146341383457184,0.38347330184609185,0.06104568392038345,0.9861214542007989,0.9726228632478633,1.0,0.5317073464393616,0.0,0.020916294306516647,7488,205,provisional
B5_hard_top1,3.387885570526123,94.031982421875,33.83424758911133,5.8769989013671875,2.114640474319458,0.24951200187206268,0.35121950507164,0.49268293380737305,0.3878028797821352,0.05308971926569939,0.9492671927846674,0.9749601968446954,0.9248935878072223,0.5317073464393616,0.07732371985912323,0.10365680605173111,7488,205,provisional
B5_posthoc_only,4.648416519165039,85.79257202148438,41.75712585449219,5.362035751342773,2.6098203659057617,0.1695459485054016,0.31707316637039185,0.43414634466171265,0.38704426865968733,0.058910489082336426,0.9492671927846674,0.9749601968446954,0.9248935878072223,0.5317073464393616,0.07732371985912323,0.10365680605173111,7488,205,provisional
B5_K2,5.28240442276001,93.22044372558594,69.51251220703125,5.826277732849121,4.344532012939453,0.18192581832408905,0.26829269528388977,0.37560975551605225,0.37379806942133975,0.06954926252365112,0.9785056294779939,0.9725990233315247,0.9844844157627352,0.5317073464393616,0.015491452999413013,0.06090017035603523,7488,205,provisional
B5_K4,4.648416519165039,85.79257202148438,41.75712585449219,5.362035751342773,2.6098203659057617,0.19077995419502258,0.31707316637039185,0.43414634466171265,0.3844530102194959,0.058910489082336426,0.9492671927846674,0.9749601968446954,0.9248935878072223,0.5317073464393616,0.07732371985912323,0.10365680605173111,7488,205,provisional
B5_K8,4.69860315322876,84.45075988769531,40.33811569213867,5.278172492980957,2.521132230758667,0.19148530066013336,0.3951219618320465,0.4585365951061249,0.4095777903230326,0.05596432462334633,0.9552406342079415,0.9766174150050208,0.9347796237814088,0.5317073464393616,0.06904380023479462,0.10116655379533768,7488,205,provisional
B5_L4,4.39601469039917,87.39995574951172,45.24184799194336,5.462497234344482,2.82761549949646,0.1967623382806778,0.35121950507164,0.44878047704696655,0.38326352661895674,0.05605178326368332,0.9422462172337855,0.976155431262879,0.9106137580667307,0.4731707274913788,0.09268162399530411,0.11868153512477875,7488,205,provisional
B5_L8,4.648416519165039,85.79257202148438,41.75712585449219,5.362035751342773,2.6098203659057617,0.19077995419502258,0.31707316637039185,0.43414634466171265,0.3844530102194959,0.058910489082336426,0.9492671927846674,0.9749601968446954,0.9248935878072223,0.5317073464393616,0.07732371985912323,0.10365680605173111,7488,205,provisional
B5_L16,5.052282333374023,81.02861785888672,38.630924224853516,5.06428861618042,2.4144327640533447,0.18708167970180511,0.30243903398513794,0.4536585509777069,0.395392533596047,0.053441960364580154,0.9581064097193129,0.9747123170904958,0.9420568447068516,0.6048780679702759,0.05996260792016983,0.08905196189880371,7488,205,provisional
