window_frame_index,source_frame_index,schema_version,session_id,mode,frame_index,wall_time_ns,x,y,z,yaw_deg,pitch_deg,quat_x,quat_y,quat_z,quat_w,right_x,right_y,right_z,up_x,up_y,up_z,back_x,back_y,back_z,fov_deg,width,height,dimension,source
0,180,1,20260914-203609-flashback_export,flashback_export,180,34555829898300,-553.553620074,88.269999981,244.450517004,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,181,1,20260914-203609-flashback_export,flashback_export,181,34555850905900,-553.575191245,88.269999981,244.449722490,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
2,182,1,20260914-203609-flashback_export,flashback_export,182,34555871068400,-553.596762417,88.269999981,244.448927977,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
3,183,1,20260914-203609-flashback_export,flashback_export,183,34555894642000,-553.618333558,88.269999981,244.448133465,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
4,184,1,20260914-203609-flashback_export,flashback_export,184,34555915672900,-553.639904777,88.269999981,244.447338950,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
5,185,1,20260914-203609-flashback_export,flashback_export,185,34555936057800,-553.661475997,88.269999981,244.446544435,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
6,186,1,20260914-203609-flashback_export,flashback_export,186,34555957924000,-553.683047205,88.269999981,244.445749920,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
7,187,1,20260914-203609-flashback_export,flashback_export,187,34555978167400,-553.704618452,88.269999981,244.444955404,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
8,188,1,20260914-203609-flashback_export,flashback_export,188,34555998271900,-553.726189699,88.269999981,244.444160888,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
9,189,1,20260914-203609-flashback_export,flashback_export,189,34556018082900,-553.747760941,88.269999981,244.443366372,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
10,190,1,20260914-203609-flashback_export,flashback_export,190,34556038044200,-553.769332205,88.269999981,244.442571855,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
11,191,1,20260914-203609-flashback_export,flashback_export,191,34556059036800,-553.790903469,88.269999981,244.441777338,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
12,192,1,20260914-203609-flashback_export,flashback_export,192,34556082868400,-553.812474726,88.269999981,244.440982822,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
13,193,1,20260914-203609-flashback_export,flashback_export,193,34556102080400,-553.834045996,88.269999981,244.440188305,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
14,194,1,20260914-203609-flashback_export,flashback_export,194,34556120956800,-553.855617267,88.269999981,244.439393788,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
15,195,1,20260914-203609-flashback_export,flashback_export,195,34556142991100,-553.877188537,88.269999981,244.438599271,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
16,196,1,20260914-203609-flashback_export,flashback_export,196,34556163375900,-553.898759813,88.269999981,244.437804754,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
17,197,1,20260914-203609-flashback_export,flashback_export,197,34556168990800,-553.920331090,88.269999981,244.437010236,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
18,198,1,20260914-203609-flashback_export,flashback_export,198,34556205630100,-553.941902362,88.269999981,244.436215719,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
19,199,1,20260914-203609-flashback_export,flashback_export,199,34556227165100,-553.963473640,88.269999981,244.435421202,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
20,200,1,20260914-203609-flashback_export,flashback_export,200,34556248910300,-553.985044918,88.269999981,244.434626685,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
21,201,1,20260914-203609-flashback_export,flashback_export,201,34556270414600,-554.006616196,88.269999981,244.433832168,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
22,202,1,20260914-203609-flashback_export,flashback_export,202,34556290678300,-554.028187477,88.269999981,244.433037650,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
23,203,1,20260914-203609-flashback_export,flashback_export,203,34556310417900,-554.049758757,88.269999981,244.432243133,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
24,204,1,20260914-203609-flashback_export,flashback_export,204,34556332856300,-554.071330034,88.269999981,244.431448616,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
25,205,1,20260914-203609-flashback_export,flashback_export,205,34556353538900,-554.092901314,88.269999981,244.430654098,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
26,206,1,20260914-203609-flashback_export,flashback_export,206,34556373931100,-554.114472594,88.269999981,244.429859581,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
27,207,1,20260914-203609-flashback_export,flashback_export,207,34556399930600,-554.136043874,88.269999981,244.429065064,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
28,208,1,20260914-203609-flashback_export,flashback_export,208,34556420658500,-554.157615154,88.269999981,244.428270546,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
29,209,1,20260914-203609-flashback_export,flashback_export,209,34556440644200,-554.179186434,88.269999981,244.427476029,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
30,210,1,20260914-203609-flashback_export,flashback_export,210,34556464171900,-554.200757715,88.269999981,244.426681511,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
31,211,1,20260914-203609-flashback_export,flashback_export,211,34556485074600,-554.222328996,88.269999981,244.425886994,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
32,212,1,20260914-203609-flashback_export,flashback_export,212,34556504033300,-554.243900276,88.269999981,244.425092477,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
33,213,1,20260914-203609-flashback_export,flashback_export,213,34556525929400,-554.265471557,88.269999981,244.424297959,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
34,214,1,20260914-203609-flashback_export,flashback_export,214,34556546486400,-554.287042839,88.269999981,244.423503442,-177.8953857,-9.7500324,-0.084968127,0.018298781,-0.001560721,-0.996214390,0.999325514,-0.000000000,0.036724243,-0.006219253,0.985556006,0.169235840,-0.036193799,-0.169350073,0.984891236,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
