window_frame_index,source_frame_index,schema_version,session_id,mode,frame_index,wall_time_ns,x,y,z,yaw_deg,pitch_deg,quat_x,quat_y,quat_z,quat_w,right_x,right_y,right_z,up_x,up_y,up_z,back_x,back_y,back_z,fov_deg,width,height,dimension,source
0,800,1,20260914-201742-flashback_export,flashback_export,800,33461472618200,86.929100455,-58.380000114,34.304079583,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,801,1,20260914-201742-flashback_export,flashback_export,801,33461497415600,86.991161703,-58.380000114,34.329591224,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
2,802,1,20260914-201742-flashback_export,flashback_export,802,33461516902500,86.975524773,-58.380000114,34.323163320,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
3,803,1,20260914-201742-flashback_export,flashback_export,803,33461537027900,86.959887842,-58.380000114,34.316735416,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
4,804,1,20260914-201742-flashback_export,flashback_export,804,33461559577100,86.960039674,-58.380000114,34.316797829,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
5,805,1,20260914-201742-flashback_export,flashback_export,805,33461583553100,86.922241092,-58.380000114,34.301259891,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
6,806,1,20260914-201742-flashback_export,flashback_export,806,33461604387200,86.884442510,-58.380000114,34.285721952,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
7,807,1,20260914-201742-flashback_export,flashback_export,807,33461631076400,86.852406497,-58.380000114,34.272552844,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
8,808,1,20260914-201742-flashback_export,flashback_export,808,33461651144500,86.800940497,-58.380000114,34.251396613,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
9,809,1,20260914-201742-flashback_export,flashback_export,809,33461670415000,86.749474497,-58.380000114,34.230240381,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
10,810,1,20260914-201742-flashback_export,flashback_export,810,33461694330800,86.702998229,-58.380000114,34.211135289,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
11,811,1,20260914-201742-flashback_export,flashback_export,811,33461719396400,86.644684273,-58.380000114,34.187164054,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
12,812,1,20260914-201742-flashback_export,flashback_export,812,33461740891300,86.586370318,-58.380000114,34.163192820,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
13,813,1,20260914-201742-flashback_export,flashback_export,813,33461762320500,86.530780757,-58.380000114,34.140341508,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
