window_frame_index,source_frame_index,schema_version,session_id,mode,frame_index,wall_time_ns,x,y,z,yaw_deg,pitch_deg,quat_x,quat_y,quat_z,quat_w,right_x,right_y,right_z,up_x,up_y,up_z,back_x,back_y,back_z,fov_deg,width,height,dimension,source
0,240,1,20260914-201742-flashback_export,flashback_export,240,33449651869900,71.989407714,-58.380000114,28.162790220,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,241,1,20260914-201742-flashback_export,flashback_export,241,33449670628100,71.922858109,-58.380000114,28.135433541,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
2,242,1,20260914-201742-flashback_export,flashback_export,242,33449689126100,71.856308503,-58.380000114,28.108076861,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
3,243,1,20260914-201742-flashback_export,flashback_export,243,33449713838800,71.789758904,-58.380000114,28.080720184,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
4,244,1,20260914-201742-flashback_export,flashback_export,244,33449732635100,71.723209298,-58.380000114,28.053363505,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
5,245,1,20260914-201742-flashback_export,flashback_export,245,33449750860900,71.656659692,-58.380000114,28.026006825,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
6,246,1,20260914-201742-flashback_export,flashback_export,246,33449770579300,71.590110093,-58.380000114,27.998650149,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
7,247,1,20260914-201742-flashback_export,flashback_export,247,33449790262400,71.523560488,-58.380000114,27.971293469,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
8,248,1,20260914-201742-flashback_export,flashback_export,248,33449810148800,71.457010884,-58.380000114,27.943936790,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
9,249,1,20260914-201742-flashback_export,flashback_export,249,33449830861300,71.390461283,-58.380000114,27.916580113,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
10,250,1,20260914-201742-flashback_export,flashback_export,250,33449850300500,71.323911679,-58.380000114,27.889223434,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
11,251,1,20260914-201742-flashback_export,flashback_export,251,33449870386900,71.257362075,-58.380000114,27.861866756,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
12,252,1,20260914-201742-flashback_export,flashback_export,252,33449875882700,71.190812472,-58.380000114,27.834510077,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
13,253,1,20260914-201742-flashback_export,flashback_export,253,33449908355400,71.124262868,-58.380000114,27.807153399,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
14,254,1,20260914-201742-flashback_export,flashback_export,254,33449915986700,71.057713265,-58.380000114,27.779796720,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
15,255,1,20260914-201742-flashback_export,flashback_export,255,33449950688900,70.991163662,-58.380000114,27.752440042,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
16,256,1,20260914-201742-flashback_export,flashback_export,256,33449969588300,70.924614055,-58.380000114,27.725083362,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
17,257,1,20260914-201742-flashback_export,flashback_export,257,33449988646100,70.858064449,-58.380000114,27.697726682,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
18,258,1,20260914-201742-flashback_export,flashback_export,258,33450008461400,70.791514851,-58.380000114,27.670370006,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
19,259,1,20260914-201742-flashback_export,flashback_export,259,33450026673000,70.724965246,-58.380000114,27.643013327,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
20,260,1,20260914-201742-flashback_export,flashback_export,260,33450043491200,70.658415642,-58.380000114,27.615656648,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
21,261,1,20260914-201742-flashback_export,flashback_export,261,33450049083600,70.591866041,-58.380000114,27.588299970,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
22,262,1,20260914-201742-flashback_export,flashback_export,262,33450080483600,70.525316435,-58.380000114,27.560943291,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
23,263,1,20260914-201742-flashback_export,flashback_export,263,33450099543000,70.458766828,-58.380000114,27.533586611,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
24,264,1,20260914-201742-flashback_export,flashback_export,264,33450119441900,70.392217230,-58.380000114,27.506229935,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
25,265,1,20260914-201742-flashback_export,flashback_export,265,33450139003700,70.325667624,-58.380000114,27.478873255,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
26,266,1,20260914-201742-flashback_export,flashback_export,266,33450157533500,70.259118018,-58.380000114,27.451516575,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
27,267,1,20260914-201742-flashback_export,flashback_export,267,33450177431400,70.192568420,-58.380000114,27.424159899,22.3512707,-8.4000111,0.014194830,0.978403091,-0.071849525,0.193296567,-0.924869895,-0.000000002,-0.380283713,0.055553064,0.989272356,-0.135107979,0.376204133,-0.146083221,-0.914948165,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
